   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77333,             0.76035,             0.76036,             0.59891,            0.038965,            0.012103,            0.012053,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.3,                   1,                 0.7,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.77609,             0.75564,             0.75146,             0.59448,            0.035313,            0.013029,             0.01379,                0.01,             0.09392,             0.97432,             0.00035,               2.815,                0.95,                 0.1,             0.04487,                 0.3,              1.0934,                 0.7,               1.168,                 0.2,              4.1899,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.77245,             0.75785,             0.75498,               0.595,            0.038888,            0.011938,            0.012248,                0.01,             0.09974,               0.943,              0.0005,               3.049,             0.79875,             0.09848,                0.05,             0.29716,                   1,             0.69895,             0.99164,                 0.2,              3.9877,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.0132
             0.74889,             0.74723,              0.7402,             0.57124,            0.056525,            0.014397,            0.014263,                0.01,             0.10761,             0.85263,             0.00045,               3.049,             0.75567,             0.10714,             0.05972,             0.34034,             0.93234,             0.74565,             0.81587,                 0.2,              5.4505,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.1107
             0.77976,             0.76648,             0.76065,             0.59366,            0.034342,            0.013325,            0.013654,             0.00775,             0.08362,             0.94428,             0.00035,              2.4376,             0.89648,             0.11129,             0.03865,             0.32037,             0.98356,             0.57729,              1.3626,                 0.2,              4.7551,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   2
             0.77482,             0.75667,             0.75063,             0.59242,            0.032052,            0.013763,            0.012634,                0.01,             0.09392,             0.97432,             0.00034,               2.815,             0.86906,             0.10578,             0.04063,             0.27417,              1.0934,             0.72396,              1.2184,                 0.2,              4.1899,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.9928
             0.78133,             0.75495,             0.75063,             0.59251,            0.042891,            0.014218,            0.017252,             0.01023,             0.09423,             0.95902,             0.00035,               2.815,             0.91135,                 0.1,              0.0495,             0.33929,              1.2178,             0.68588,              1.2345,                 0.2,              4.3762,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   2
             0.78359,             0.75798,             0.75725,             0.59909,             0.03586,            0.012511,            0.013486,             0.00995,             0.09143,             0.97432,             0.00037,              2.5837,               0.847,                 0.1,             0.04424,             0.29488,              1.1232,             0.66932,               1.104,                 0.2,              4.4346,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.1321
             0.77104,             0.75144,             0.74808,             0.59377,            0.039566,            0.011543,            0.012349,             0.01012,              0.0944,             0.97657,             0.00048,              3.0327,             0.70608,             0.09848,             0.05046,             0.29716,             0.94682,             0.69895,             0.91696,                 0.2,              4.1786,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.9047
             0.77614,             0.75557,             0.75394,             0.59667,            0.038522,            0.010994,            0.013171,                0.01,             0.10803,             0.94936,             0.00057,              3.2369,             0.77027,             0.09848,             0.04821,             0.31751,                   1,             0.60385,               1.086,                 0.2,               4.233,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.6995
