               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072896,            0.023463,            0.047315,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070015,           0.0033317,           0.0033317
                   1,            0.056604,            0.019387,            0.024206,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039715,           0.0063651,           0.0063651
                   2,            0.051705,            0.017959,            0.012089,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091153,           0.0090985,           0.0090985
                   3,            0.048556,            0.016932,           0.0091427,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   4,            0.046281,            0.016097,           0.0079241,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   5,            0.044413,            0.015354,           0.0070946,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   6,            0.043105,             0.01479,           0.0066453,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00775,             0.00775,             0.00775
                   7,             0.04212,            0.014335,           0.0062984,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0073,              0.0073,              0.0073
                   8,            0.041326,            0.013952,           0.0060081,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00685,             0.00685,             0.00685
                   9,            0.040613,            0.013602,           0.0058581,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0064,              0.0064,              0.0064
                  10,            0.039959,            0.013268,           0.0056063,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00595,             0.00595,             0.00595
                  11,            0.039314,            0.012917,            0.005521,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0055,              0.0055,              0.0055
                  12,             0.03875,            0.012633,           0.0053385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  13,            0.038125,            0.012279,           0.0051628,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0046,              0.0046,              0.0046
