               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072896,            0.023463,            0.047315,             0.40942,              0.3238,             0.28109,             0.16381,             0.05592,            0.017986,            0.036925,            0.070015,           0.0033317,           0.0033317
                   1,            0.056782,             0.01942,            0.024021,             0.66291,             0.66827,             0.63709,             0.43798,            0.048129,            0.015652,            0.016208,            0.040009,            0.006659,            0.006659
                   2,            0.051962,             0.01804,            0.012029,             0.68387,             0.73136,             0.71679,              0.5175,            0.044589,            0.014397,            0.012875,           0.0099971,           0.0099803,           0.0099803
                   3,            0.049243,            0.017168,           0.0093337,             0.69905,             0.75199,             0.73334,             0.54199,            0.043087,            0.013735,            0.012208,            0.009973,            0.009973,            0.009973
                   4,             0.04646,            0.016178,           0.0079351,             0.73689,             0.75457,             0.75196,             0.56376,            0.042021,            0.013284,            0.011564,            0.009973,            0.009973,            0.009973
                   5,            0.044877,            0.015539,           0.0072357,             0.72855,             0.75942,             0.74518,             0.56324,            0.041339,            0.012972,            0.011952,            0.009964,            0.009964,            0.009964
                   6,            0.043917,            0.015125,           0.0068743,             0.74509,             0.75344,             0.75086,               0.573,            0.040842,              0.0128,             0.01166,            0.009955,            0.009955,            0.009955
                   7,            0.043185,            0.014798,           0.0066311,             0.76483,             0.75184,             0.75568,             0.57989,            0.040473,            0.012607,            0.011715,            0.009946,            0.009946,            0.009946
                   8,            0.042761,            0.014596,           0.0064667,             0.76419,             0.75359,             0.75649,             0.58367,            0.040112,            0.012476,            0.011813,            0.009937,            0.009937,            0.009937
                   9,             0.04222,            0.014318,           0.0062992,             0.77633,             0.75107,             0.75883,             0.58856,            0.039833,            0.012382,            0.011605,            0.009928,            0.009928,            0.009928
                  10,            0.041924,            0.014192,           0.0062329,             0.77629,             0.74972,             0.75739,             0.58971,            0.039679,            0.012326,            0.011757,            0.009919,            0.009919,            0.009919
                  11,            0.041665,            0.014067,           0.0060809,             0.78177,             0.74955,             0.75732,             0.59082,            0.039527,            0.012274,            0.011851,             0.00991,             0.00991,             0.00991
                  12,            0.041448,            0.013964,           0.0061667,             0.78062,             0.74922,             0.75692,               0.591,            0.039427,            0.012228,            0.011923,            0.009901,            0.009901,            0.009901
                  13,            0.041174,            0.013826,           0.0060315,             0.77884,             0.74677,             0.75331,             0.58916,            0.039324,            0.012187,            0.012111,            0.009892,            0.009892,            0.009892
                  14,            0.041024,            0.013734,            0.005989,             0.77842,             0.74682,             0.75357,             0.59002,            0.039233,            0.012147,             0.01218,            0.009883,            0.009883,            0.009883
                  15,            0.040846,            0.013646,           0.0059153,             0.77894,             0.74774,             0.75329,             0.59034,            0.039165,            0.012118,            0.012223,            0.009874,            0.009874,            0.009874
                  16,            0.040654,            0.013544,           0.0059558,             0.77646,              0.7493,              0.7535,             0.59099,            0.039111,            0.012095,            0.012234,            0.009865,            0.009865,            0.009865
                  17,            0.040504,            0.013468,           0.0058174,             0.77772,               0.749,             0.75398,             0.59195,            0.039056,            0.012068,             0.01222,            0.009856,            0.009856,            0.009856
