   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.77062,             0.82289,             0.81073,             0.62993,            0.053882,            0.035516,            0.012868,                0.01,                 0.1,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.3,                   1,                 0.7,                   1,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.75875,             0.82432,             0.81265,             0.63365,            0.045821,            0.032821,            0.010526,             0.01054,                 0.1,               0.937,              0.0005,               2.972,                 0.8,             0.09784,             0.05405,                 0.3,             0.92567,             0.69917,               0.975,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.5275
             0.75827,             0.82393,             0.81185,             0.63244,            0.047197,            0.032874,            0.010197,             0.01035,             0.09907,               0.937,             0.00051,               2.972,             0.81868,             0.09838,             0.05587,              0.2936,             0.94557,             0.70031,               0.975,                 0.2,              3.9943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.5275
              0.7648,             0.81665,             0.80708,             0.62023,            0.063544,            0.028978,            0.014311,             0.00757,              0.1312,               0.937,             0.00051,              3.5053,             0.65743,             0.10887,             0.05587,             0.33806,             0.94557,             0.56279,             0.90071,                 0.2,              4.7793,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.8256
             0.76144,              0.8155,             0.80183,             0.62215,            0.048125,            0.035481,            0.012101,                0.01,             0.09911,             0.93614,             0.00051,              2.9722,             0.79679,                 0.1,             0.05043,             0.29774,              1.0009,             0.70849,              1.0146,                 0.2,              3.9801,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.9931
             0.76698,             0.82193,             0.81073,             0.63022,            0.044941,            0.032389,            0.011235,                0.01,             0.09972,               0.937,             0.00049,              2.9062,             0.81652,             0.09694,                0.05,                 0.3,             0.99575,              0.6859,             0.95962,                 0.2,               3.845,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.1112
             0.78127,             0.81435,             0.80918,             0.60537,            0.047566,            0.036378,            0.015658,             0.00959,             0.10886,             0.88257,             0.00053,                   3,             0.69538,             0.11696,             0.04062,             0.35137,                   1,                 0.7,             0.87889,                 0.2,              4.3309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.2683
              0.7588,             0.81718,             0.80416,             0.61241,            0.054932,            0.040104,            0.013887,             0.00921,             0.10419,             0.91754,             0.00055,              2.9392,             0.77515,                 0.1,             0.04928,             0.31634,               1.018,             0.71858,              1.0437,                 0.2,               4.654,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.2526
             0.75293,             0.81913,             0.80176,             0.61555,            0.038538,            0.033055,            0.010203,             0.01076,             0.10582,             0.91427,             0.00038,              2.9897,                 0.8,             0.11412,                0.05,              0.2742,               1.193,                 0.7,              1.1418,                 0.2,              3.1292,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              4.1695
             0.76551,             0.81545,              0.8032,             0.59065,            0.031553,            0.034836,            0.016787,                0.01,             0.08015,               0.856,             0.00051,                   3,             0.65709,                 0.1,              0.0316,              0.4131,              1.0717,             0.65171,              1.0278,                 0.2,                   4,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              4.5852
             0.74058,             0.81901,             0.79505,              0.6041,            0.053293,            0.034705,            0.012712,              0.0101,             0.09073,              0.8934,              0.0005,              3.0293,                 0.8,             0.09116,             0.04888,             0.28514,              1.0148,             0.65673,                   1,                 0.2,               4.102,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   3
             0.75023,              0.8225,             0.80142,             0.61291,            0.046489,            0.034784,            0.012067,                0.01,                 0.1,             0.92045,             0.00053,                   3,                 0.8,             0.09843,             0.04254,             0.29151,             0.91218,              0.6567,                   1,                 0.2,              4.0257,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.0679
             0.76769,             0.82744,             0.81743,             0.63149,            0.044938,            0.035203,            0.011542,             0.01054,                 0.1,             0.92985,              0.0005,              3.1444,             0.78328,                 0.1,             0.04957,             0.30871,             0.99828,             0.71039,              1.0346,                 0.2,              3.8714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              2.8834
             0.75872,             0.82523,             0.80908,              0.6185,            0.046879,            0.028694,            0.011728,             0.01189,             0.06697,             0.88537,              0.0005,              3.2714,             0.91011,                 0.1,             0.05114,             0.30871,             0.98929,             0.56761,               1.039,                 0.2,              3.8714,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              3.2342
