               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089624,            0.053048,            0.050264,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070019,           0.0033312,           0.0033312
                   1,              0.0761,            0.047967,            0.036248,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039719,           0.0063647,           0.0063647
                   2,             0.07217,            0.045822,            0.024805,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.009119,           0.0090981,           0.0090981
                   3,            0.067367,            0.043235,            0.017296,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   4,            0.063773,            0.040579,            0.013406,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   5,            0.061225,            0.038355,            0.011681,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   6,            0.059608,            0.036727,            0.010763,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00775,             0.00775,             0.00775
                   7,            0.058395,            0.035367,            0.010179,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0073,              0.0073,              0.0073
                   8,            0.057398,            0.034263,           0.0097601,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00685,             0.00685,             0.00685
                   9,            0.056518,            0.033144,           0.0094186,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0064,              0.0064,              0.0064
                  10,            0.055863,            0.032256,           0.0091688,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00595,             0.00595,             0.00595
                  11,            0.055141,            0.031346,           0.0089309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0055,              0.0055,              0.0055
                  12,            0.054493,            0.030378,           0.0087219,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  13,            0.053849,             0.02951,           0.0085347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0046,              0.0046,              0.0046
                  14,            0.053262,            0.028624,           0.0083715,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00415,             0.00415,             0.00415
                  15,            0.052675,            0.027712,           0.0082037,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0037,              0.0037,              0.0037
                  16,              0.0521,            0.026895,           0.0080493,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00325,             0.00325,             0.00325
                  17,            0.051438,            0.025756,           0.0078894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0028,              0.0028,              0.0028
                  18,            0.050802,            0.024748,           0.0077322,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00235,             0.00235,             0.00235
                  19,            0.050113,            0.023653,           0.0075727,             0.77062,             0.82289,             0.81073,             0.62993,            0.053882,            0.035516,            0.012868,              0.0019,              0.0019,              0.0019
                   0,            0.084252,            0.051359,            0.048565,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068484,           0.0035442,           0.0035442
                   1,            0.068235,            0.044947,            0.037374,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.038792,           0.0067714,           0.0067714
                   2,            0.064547,            0.042659,            0.027388,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095914,           0.0095914,           0.0095914
                   3,            0.060431,            0.040216,            0.018868,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0095914,           0.0095914,           0.0095914
                   4,            0.056899,            0.037815,            0.014329,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091171,           0.0091171,           0.0091171
                   5,            0.054798,            0.036116,            0.011718,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0086428,           0.0086428,           0.0086428
                   6,            0.053168,            0.034692,            0.010319,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0081685,           0.0081685,           0.0081685
                   7,            0.051867,             0.03349,           0.0094637,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0076942,           0.0076942,           0.0076942
                   8,            0.050693,            0.032304,           0.0088704,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0072199,           0.0072199,           0.0072199
                   9,            0.049657,            0.031224,           0.0084193,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0067456,           0.0067456,           0.0067456
                  10,            0.048786,            0.030262,            0.008052,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062713,           0.0062713,           0.0062713
                  11,             0.04804,            0.029356,            0.007772,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005797,            0.005797,            0.005797
                  12,            0.047163,             0.02838,           0.0074893,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0053227,           0.0053227,           0.0053227
                  13,            0.046472,            0.027518,           0.0072583,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0048484,           0.0048484,           0.0048484
                  14,            0.045757,            0.026582,           0.0070413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0043741,           0.0043741,           0.0043741
                  15,            0.045049,            0.025658,           0.0068414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038998,           0.0038998,           0.0038998
                  16,            0.044265,            0.024665,           0.0066367,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0034255,           0.0034255,           0.0034255
                  17,            0.043612,            0.023734,           0.0064615,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0029512,           0.0029512,           0.0029512
                  18,            0.042859,            0.022739,            0.006268,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024769,           0.0024769,           0.0024769
                  19,             0.04215,            0.021707,           0.0060928,             0.75875,             0.82432,             0.81265,             0.63365,            0.045821,            0.032821,            0.010526,           0.0020026,           0.0020026,           0.0020026
                   0,            0.085953,            0.051339,             0.04822,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.068779,           0.0034803,           0.0034803
                   1,            0.069622,            0.044799,            0.036994,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.038847,            0.006649,            0.006649
                   2,            0.065974,            0.042558,            0.027125,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094175,           0.0094175,           0.0094175
                   3,            0.061916,            0.040163,            0.018859,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0094175,           0.0094175,           0.0094175
                   4,            0.058346,            0.037737,            0.014482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0089513,           0.0089513,           0.0089513
                   5,            0.056197,            0.036074,            0.011875,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0084851,           0.0084851,           0.0084851
                   6,            0.054615,            0.034719,            0.010419,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0080188,           0.0080188,           0.0080188
                   7,            0.053272,            0.033472,           0.0095294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0075526,           0.0075526,           0.0075526
                   8,            0.052097,            0.032373,           0.0089401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0070864,           0.0070864,           0.0070864
                   9,            0.051095,            0.031357,           0.0084857,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0066201,           0.0066201,           0.0066201
                  10,            0.050207,            0.030371,            0.008124,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0061539,           0.0061539,           0.0061539
                  11,            0.049384,            0.029448,           0.0078177,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0056877,           0.0056877,           0.0056877
                  12,            0.048447,            0.028395,           0.0075341,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052215,           0.0052215,           0.0052215
                  13,            0.047725,            0.027552,           0.0072904,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0047552,           0.0047552,           0.0047552
                  14,            0.047053,            0.026653,           0.0070737,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.004289,            0.004289,            0.004289
                  15,            0.046264,            0.025722,           0.0068562,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0038228,           0.0038228,           0.0038228
                  16,            0.045487,            0.024714,           0.0066523,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0033565,           0.0033565,           0.0033565
                  17,            0.044776,            0.023733,           0.0064648,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0028903,           0.0028903,           0.0028903
                  18,            0.044009,            0.022713,            0.006271,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0024241,           0.0024241,           0.0024241
                  19,            0.043319,            0.021736,           0.0060916,             0.75827,             0.82393,             0.81185,             0.63244,            0.047197,            0.032874,            0.010197,           0.0019578,           0.0019578,           0.0019578
                   0,             0.10899,            0.045408,            0.057873,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.079988,           0.0021583,           0.0021583
                   1,            0.089629,            0.041257,             0.04773,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.050902,           0.0041303,           0.0041303
                   2,            0.085548,            0.038834,            0.038413,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.021628,           0.0059147,           0.0059147
                   3,            0.081065,            0.037151,            0.027309,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065835,           0.0065835,           0.0065835
                   4,            0.076299,            0.034941,            0.019811,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0065835,           0.0065835,           0.0065835
                   5,            0.073265,             0.03327,            0.015992,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0062546,           0.0062546,           0.0062546
                   6,            0.071226,            0.031951,             0.01402,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0059258,           0.0059258,           0.0059258
                   7,            0.069615,            0.030839,            0.012903,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005597,            0.005597,            0.005597
                   8,            0.068325,            0.029881,            0.012157,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0052681,           0.0052681,           0.0052681
                   9,            0.067241,            0.029006,            0.011618,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0049393,           0.0049393,           0.0049393
                  10,            0.066289,            0.028199,            0.011192,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0046104,           0.0046104,           0.0046104
                  11,             0.06541,            0.027423,            0.010845,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0042816,           0.0042816,           0.0042816
                  12,            0.064553,            0.026597,            0.010541,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0039528,           0.0039528,           0.0039528
