               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084616,            0.051428,            0.048611,             0.61489,             0.12353,             0.13401,            0.081134,            0.063589,            0.042042,             0.04237,            0.068482,           0.0035444,           0.0035444
                   1,            0.068631,            0.045099,            0.037376,             0.50731,             0.30442,             0.28851,             0.18217,            0.057244,            0.038335,             0.03208,              0.0391,           0.0070847,           0.0070847
                   2,             0.06507,            0.042924,            0.026952,             0.58111,             0.53598,             0.50912,             0.33278,             0.05523,            0.037267,            0.021806,            0.010521,            0.010521,            0.010521
                   3,             0.06034,            0.040315,            0.017705,             0.70383,             0.68237,             0.69004,             0.48211,            0.052197,            0.034647,            0.015286,            0.010521,            0.010521,            0.010521
                   4,            0.056285,            0.037469,             0.01287,             0.73587,             0.73421,              0.7496,             0.53712,            0.050532,            0.033427,            0.012883,            0.010512,            0.010512,            0.010512
                   5,            0.054186,            0.035768,             0.01067,             0.74991,             0.74904,             0.77278,             0.56595,            0.049498,            0.032597,            0.012018,            0.010502,            0.010502,            0.010502
                   6,            0.052853,            0.034518,           0.0096186,             0.75266,             0.77383,             0.79155,             0.58301,             0.04882,            0.031999,            0.011547,            0.010493,            0.010493,            0.010493
                   7,            0.051776,            0.033492,            0.008965,             0.77875,             0.76329,               0.793,             0.59093,            0.048231,            0.031644,            0.011362,            0.010483,            0.010483,            0.010483
                   8,            0.051042,            0.032732,           0.0085385,             0.77503,             0.77203,             0.79332,             0.59421,            0.047921,            0.031336,            0.011296,            0.010474,            0.010474,            0.010474
                   9,            0.050406,             0.03207,           0.0082122,             0.71455,              0.8205,             0.79955,             0.60353,            0.047442,            0.031087,            0.011133,            0.010464,            0.010464,            0.010464
                  10,            0.049919,            0.031461,            0.007962,             0.74048,             0.81068,             0.80493,              0.6118,            0.047142,            0.030744,            0.010896,            0.010455,            0.010455,            0.010455
                  11,            0.049503,            0.031003,           0.0077679,             0.73772,             0.81472,             0.80586,             0.61499,            0.046801,            0.030545,            0.010843,            0.010445,            0.010445,            0.010445
                  12,            0.049071,            0.030517,           0.0076142,             0.74252,             0.82084,             0.81296,             0.62422,            0.046568,            0.030353,            0.010599,            0.010436,            0.010436,            0.010436
                  13,            0.048752,            0.030164,           0.0074744,             0.74908,             0.82033,             0.81085,             0.62511,            0.046347,            0.030156,            0.010628,            0.010426,            0.010426,            0.010426
                  14,            0.048573,            0.029924,           0.0073881,             0.75104,              0.8145,             0.80854,             0.62498,            0.046219,            0.030132,            0.010764,            0.010417,            0.010417,            0.010417
                  15,             0.04819,            0.029415,            0.007269,             0.75885,             0.81638,             0.81179,              0.6298,             0.04598,             0.03005,            0.010588,            0.010407,            0.010407,            0.010407
                  16,            0.048074,              0.0293,           0.0072244,             0.75776,             0.81609,             0.81198,             0.63185,            0.045826,            0.029868,            0.010614,            0.010398,            0.010398,            0.010398
                  17,            0.047769,            0.028858,           0.0071365,             0.75971,             0.81969,             0.81418,             0.63488,            0.045651,            0.029819,            0.010517,            0.010388,            0.010388,            0.010388
                  18,            0.047641,            0.028737,           0.0070867,             0.76356,             0.81932,             0.81522,             0.63714,            0.045583,            0.029819,            0.010388,            0.010379,            0.010379,            0.010379
                  19,            0.047492,            0.028542,           0.0070478,             0.76745,             0.81699,               0.816,             0.63888,            0.045496,            0.029767,            0.010431,            0.010369,            0.010369,            0.010369
                  20,            0.047286,            0.028282,           0.0069755,             0.77097,             0.81846,             0.81899,             0.64173,            0.045391,            0.029761,            0.010413,             0.01036,             0.01036,             0.01036
                  21,            0.047192,            0.028098,           0.0069511,             0.77288,             0.81946,             0.81996,             0.64336,            0.045302,            0.029655,            0.010367,             0.01035,             0.01035,             0.01035
                  22,            0.047054,            0.027984,           0.0068962,             0.77105,             0.81909,             0.81774,             0.64304,            0.045226,            0.029675,            0.010455,            0.010341,            0.010341,            0.010341
                  23,            0.046919,            0.027876,           0.0068688,             0.76898,              0.8178,             0.81671,             0.64352,            0.045161,            0.029696,            0.010417,            0.010331,            0.010331,            0.010331
                  24,            0.046687,            0.027494,           0.0068136,             0.77293,             0.81801,             0.81878,             0.64574,            0.045101,            0.029674,            0.010341,            0.010322,            0.010322,            0.010322
                  25,            0.046615,            0.027338,           0.0067859,              0.7771,             0.81853,             0.81983,             0.64714,            0.045045,            0.029639,            0.010321,            0.010312,            0.010312,            0.010312
                  26,            0.046543,            0.027299,           0.0067758,             0.77637,             0.81919,             0.81974,             0.64746,            0.044996,            0.029633,            0.010322,            0.010303,            0.010303,            0.010303
                  27,            0.046448,            0.027134,           0.0067597,             0.77911,             0.81851,             0.81992,             0.64823,            0.044955,             0.02962,            0.010309,            0.010293,            0.010293,            0.010293
                  28,            0.046285,            0.026908,           0.0067184,             0.78019,             0.81798,             0.81984,              0.6485,            0.044931,            0.029611,            0.010312,            0.010284,            0.010284,            0.010284
                  29,            0.046205,            0.026758,           0.0066972,             0.78135,              0.8184,             0.81996,             0.64907,            0.044897,            0.029594,            0.010316,            0.010274,            0.010274,            0.010274
                  30,            0.046103,            0.026654,           0.0066715,             0.78055,             0.81864,             0.81991,             0.64918,            0.044862,            0.029578,            0.010315,            0.010265,            0.010265,            0.010265
                  31,            0.046023,            0.026528,           0.0066446,             0.78102,             0.81852,             0.81969,              0.6496,            0.044826,            0.029572,             0.01031,            0.010255,            0.010255,            0.010255
                  32,            0.045956,            0.026444,           0.0066495,              0.7815,             0.81817,             0.81979,             0.64976,            0.044798,            0.029573,            0.010307,            0.010246,            0.010246,            0.010246
                  33,            0.045888,            0.026338,           0.0066229,             0.78289,             0.81811,             0.81997,             0.65008,            0.044773,            0.029562,            0.010293,            0.010236,            0.010236,            0.010236
                  34,            0.045838,            0.026323,           0.0066047,             0.78462,             0.81756,             0.82011,             0.65027,            0.044749,            0.029557,            0.010283,            0.010227,            0.010227,            0.010227
                  35,            0.045843,            0.026311,           0.0066158,             0.78555,             0.81744,             0.81987,             0.65042,            0.044724,            0.029548,             0.01029,            0.010217,            0.010217,            0.010217
                  36,            0.045774,            0.026171,           0.0065925,             0.78567,             0.81741,             0.81997,             0.65085,            0.044704,            0.029537,            0.010285,            0.010208,            0.010208,            0.010208
