               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078049,            0.037471,            0.047735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070013,           0.0033319,           0.0033319
                   1,            0.064584,            0.032287,            0.032414,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.039713,           0.0063653,           0.0063653
                   2,             0.06083,            0.030645,             0.02256,                   0,                   0,                   0,                   0,                   0,                   0,                   0,           0.0091128,           0.0090987,           0.0090987
                   3,             0.05677,            0.028852,            0.015367,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   4,            0.053771,            0.027129,            0.011082,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00865,             0.00865,             0.00865
                   5,            0.051835,            0.025691,            0.009497,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0082,              0.0082,              0.0082
                   6,            0.050623,            0.024789,           0.0087353,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00775,             0.00775,             0.00775
                   7,            0.049628,            0.024033,           0.0084251,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0073,              0.0073,              0.0073
                   8,            0.048763,            0.023175,           0.0078671,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00685,             0.00685,             0.00685
                   9,            0.048056,             0.02261,           0.0076062,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0064,              0.0064,              0.0064
                  10,            0.047369,            0.021941,           0.0073962,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00595,             0.00595,             0.00595
                  11,            0.046755,            0.021315,           0.0072047,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0055,              0.0055,              0.0055
                  12,            0.046112,            0.020685,           0.0070291,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  13,            0.045516,            0.020125,           0.0068817,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0046,              0.0046,              0.0046
                  14,            0.045028,            0.019502,           0.0067623,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00415,             0.00415,             0.00415
