               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078049,            0.037471,            0.047735,              0.4076,             0.19807,             0.16684,             0.09759,            0.054525,            0.027928,            0.040611,            0.070013,           0.0033319,           0.0033319
                   1,            0.064828,            0.032365,            0.032256,             0.42254,             0.59887,             0.39516,             0.25655,            0.049935,            0.025868,            0.026649,            0.040007,           0.0066593,           0.0066593
                   2,            0.061198,            0.030772,            0.022356,             0.47515,             0.72597,             0.55491,               0.381,            0.048249,            0.024723,            0.019953,           0.0099947,           0.0099806,           0.0099806
                   3,            0.056885,            0.028895,            0.015107,             0.70397,             0.74876,             0.74886,             0.54033,            0.045906,            0.023347,            0.014796,            0.009973,            0.009973,            0.009973
                   4,            0.053827,            0.027147,             0.01104,             0.69241,             0.78206,             0.75552,             0.55703,            0.044777,            0.022552,            0.014714,            0.009973,            0.009973,            0.009973
                   5,             0.05231,            0.026024,           0.0096742,              0.7163,             0.78245,             0.76075,             0.56793,            0.044019,            0.022174,            0.014755,            0.009964,            0.009964,            0.009964
                   6,            0.051266,            0.025268,           0.0090036,             0.72741,             0.78444,             0.76495,             0.57888,            0.043441,            0.021682,            0.014668,            0.009955,            0.009955,            0.009955
                   7,            0.050481,            0.024588,           0.0083952,              0.7433,             0.78678,             0.77532,             0.59231,            0.042935,             0.02138,             0.01499,            0.009946,            0.009946,            0.009946
                   8,            0.049923,            0.024145,           0.0083429,             0.75152,             0.78008,             0.77802,             0.59836,            0.042614,            0.021261,            0.014713,            0.009937,            0.009937,            0.009937
                   9,            0.049502,            0.023805,           0.0080732,             0.76673,             0.78027,              0.7818,             0.60275,            0.042327,            0.021129,            0.014874,            0.009928,            0.009928,            0.009928
                  10,            0.049092,            0.023471,           0.0078604,             0.76058,             0.77548,             0.77101,              0.5974,            0.042095,            0.020996,            0.015864,            0.009919,            0.009919,            0.009919
                  11,            0.048723,            0.023052,           0.0076395,             0.77061,              0.7807,             0.77425,             0.60331,            0.041845,            0.020822,            0.015666,             0.00991,             0.00991,             0.00991
                  12,            0.048371,            0.022676,           0.0075241,             0.77668,             0.78503,             0.78163,             0.61124,            0.041691,            0.020732,            0.015557,            0.009901,            0.009901,            0.009901
                  13,            0.048313,            0.022809,           0.0079721,             0.77818,             0.78777,             0.78091,             0.61179,            0.041551,            0.020613,            0.015008,            0.009892,            0.009892,            0.009892
                  14,            0.047958,            0.022383,           0.0073569,             0.78232,             0.78691,             0.78138,             0.61352,            0.041427,            0.020611,            0.015116,            0.009883,            0.009883,            0.009883
                  15,            0.047757,            0.022114,           0.0073013,             0.78618,             0.78756,             0.78365,              0.6171,            0.041324,            0.020546,            0.015222,            0.009874,            0.009874,            0.009874
                  16,            0.047504,            0.021844,           0.0072661,             0.78732,             0.78475,             0.78222,             0.61781,            0.041211,            0.020515,            0.015393,            0.009865,            0.009865,            0.009865
                  17,            0.047464,            0.021828,           0.0074338,             0.78685,             0.78414,             0.78097,             0.61767,            0.041151,            0.020507,            0.015446,            0.009856,            0.009856,            0.009856
                  18,            0.047444,             0.02191,           0.0074264,             0.78685,             0.78386,             0.78022,             0.61766,            0.041092,            0.020477,            0.015391,            0.009847,            0.009847,            0.009847
                  19,            0.047004,            0.021378,           0.0071144,             0.78723,             0.78426,             0.77967,             0.61814,            0.041034,            0.020451,            0.015491,            0.009838,            0.009838,            0.009838
                  20,            0.046852,            0.021321,           0.0070637,             0.78725,             0.78404,             0.77958,             0.61871,            0.040987,            0.020447,            0.015626,            0.009829,            0.009829,            0.009829
                  21,            0.046884,            0.021275,           0.0073775,             0.78895,             0.78232,             0.77927,             0.61895,            0.040938,            0.020431,            0.015698,             0.00982,             0.00982,             0.00982
                  22,            0.047027,            0.021553,            0.007382,             0.79039,             0.78337,              0.7804,             0.62007,            0.040888,            0.020412,            0.015712,            0.009811,            0.009811,            0.009811
                  23,            0.046593,            0.021106,           0.0070064,             0.79012,             0.78319,             0.78009,             0.62027,            0.040843,            0.020406,             0.01577,            0.009802,            0.009802,            0.009802
